"package"	"afmfile"	"fontfile"	"FullName"	"FamilyName"	"FontName"	"Bold"	"Italic"	"Symbol"	"afmsymfile"
"123"	NA	"KacstTitleL.afm.gz"	"/usr/share/fonts/truetype/kacst/KacstTitleL.ttf"	"KacstTitleL"	"KacstTitleL"	"KacstTitleL"	FALSE	FALSE	FALSE	NA
"124"	NA	"Kalapi.afm.gz"	"/usr/share/fonts/truetype/fonts-kalapi/Kalapi.ttf"	"Kalapi"	"Kalapi"	"Kalapi"	FALSE	FALSE	FALSE	NA
"125"	NA	"kalimati.afm.gz"	"/usr/share/fonts/truetype/fonts-deva-extra/kalimati.ttf"	"Kalimati"	"Kalimati"	"Kalimati"	FALSE	FALSE	FALSE	NA
"126"	NA	"Karumbi.afm.gz"	"/usr/share/fonts/truetype/malayalam/Karumbi.ttf"	"Karumbi"	"Karumbi"	"Karumbi"	FALSE	FALSE	FALSE	NA
"127"	NA	"Keraleeyam.afm.gz"	"/usr/share/fonts/truetype/malayalam/Keraleeyam.ttf"	"Keraleeyam"	"Keraleeyam"	"Keraleeyam"	TRUE	FALSE	FALSE	NA
"128"	NA	"KhmerOS.afm.gz"	"/usr/share/fonts/truetype/ttf-khmeros-core/KhmerOS.ttf"	"Khmer OS"	"Khmer OS"	"KhmerOS"	FALSE	FALSE	FALSE	NA
"129"	NA	"KhmerOSsys.afm.gz"	"/usr/share/fonts/truetype/ttf-khmeros-core/KhmerOSsys.ttf"	"Khmer OS System"	"Khmer OS System"	"KhmerOSsys"	FALSE	FALSE	FALSE	NA
"130"	NA	"Kinnari.afm.gz"	"/usr/share/fonts/truetype/tlwg/Kinnari.ttf"	"Kinnari"	"Kinnari"	"Kinnari"	FALSE	FALSE	FALSE	NA
"131"	NA	"Kinnari-Bold.afm.gz"	"/usr/share/fonts/truetype/tlwg/Kinnari-Bold.ttf"	"Kinnari Bold"	"Kinnari"	"Kinnari-Bold"	TRUE	FALSE	FALSE	NA
"132"	NA	"Kinnari-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/tlwg/Kinnari-BoldItalic.ttf"	"Kinnari Bold Italic"	"Kinnari"	"Kinnari-BoldItalic"	TRUE	TRUE	FALSE	NA
"133"	NA	"Kinnari-BoldOblique.afm.gz"	"/usr/share/fonts/truetype/tlwg/Kinnari-BoldOblique.ttf"	"Kinnari Bold Oblique"	"Kinnari"	"Kinnari-BoldOblique"	TRUE	TRUE	FALSE	NA
"134"	NA	"Kinnari-Italic.afm.gz"	"/usr/share/fonts/truetype/tlwg/Kinnari-Italic.ttf"	"Kinnari Italic"	"Kinnari"	"Kinnari-Italic"	FALSE	TRUE	FALSE	NA
"135"	NA	"Kinnari-Oblique.afm.gz"	"/usr/share/fonts/truetype/tlwg/Kinnari-Oblique.ttf"	"Kinnari Oblique"	"Kinnari"	"Kinnari-Oblique"	FALSE	TRUE	FALSE	NA
"136"	NA	"Laksaman.afm.gz"	"/usr/share/fonts/truetype/tlwg/Laksaman.ttf"	"Laksaman"	"Laksaman"	"Laksaman"	FALSE	FALSE	FALSE	NA
"137"	NA	"Laksaman-Bold.afm.gz"	"/usr/share/fonts/truetype/tlwg/Laksaman-Bold.ttf"	"Laksaman Bold"	"Laksaman"	"Laksaman-Bold"	TRUE	FALSE	FALSE	NA
"138"	NA	"Laksaman-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/tlwg/Laksaman-BoldItalic.ttf"	"Laksaman Bold Italic"	"Laksaman"	"Laksaman-BoldItalic"	TRUE	TRUE	FALSE	NA
"139"	NA	"Laksaman-Italic.afm.gz"	"/usr/share/fonts/truetype/tlwg/Laksaman-Italic.ttf"	"Laksaman Italic"	"Laksaman"	"Laksaman-Italic"	FALSE	TRUE	FALSE	NA
"140"	NA	"Lato-Black.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-Black.ttf"	"Lato Black"	"Lato Black"	"Lato-Black"	FALSE	FALSE	FALSE	NA
"141"	NA	"Lato-BlackItalic.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-BlackItalic.ttf"	"Lato Black Italic"	"Lato Black"	"Lato-BlackItalic"	FALSE	TRUE	FALSE	NA
"142"	NA	"Lato-Bold.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-Bold.ttf"	"Lato Bold"	"Lato"	"Lato-Bold"	TRUE	FALSE	FALSE	NA
"143"	NA	"Lato-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-BoldItalic.ttf"	"Lato Bold Italic"	"Lato"	"Lato-BoldItalic"	TRUE	TRUE	FALSE	NA
"144"	NA	"Lato-Hairline.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-Hairline.ttf"	"Lato Hairline"	"Lato Hairline"	"Lato-Hairline"	FALSE	FALSE	FALSE	NA
"145"	NA	"Lato-HairlineItalic.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-HairlineItalic.ttf"	"Lato Hairline Italic"	"Lato Hairline"	"Lato-HairlineItalic"	FALSE	TRUE	FALSE	NA
"146"	NA	"Lato-Heavy.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-Heavy.ttf"	"Lato Heavy"	"Lato Heavy"	"Lato-Heavy"	FALSE	FALSE	FALSE	NA
"147"	NA	"Lato-HeavyItalic.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-HeavyItalic.ttf"	"Lato Heavy Italic"	"Lato Heavy"	"Lato-HeavyItalic"	FALSE	TRUE	FALSE	NA
"148"	NA	"Lato-Italic.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-Italic.ttf"	"Lato Italic"	"Lato"	"Lato-Italic"	FALSE	TRUE	FALSE	NA
"149"	NA	"Lato-Light.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-Light.ttf"	"Lato Light"	"Lato Light"	"Lato-Light"	FALSE	FALSE	FALSE	NA
"150"	NA	"Lato-LightItalic.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-LightItalic.ttf"	"Lato Light Italic"	"Lato Light"	"Lato-LightItalic"	FALSE	TRUE	FALSE	NA
"151"	NA	"Lato-Medium.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-Medium.ttf"	"Lato Medium"	"Lato Medium"	"Lato-Medium"	FALSE	FALSE	FALSE	NA
"152"	NA	"Lato-MediumItalic.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-MediumItalic.ttf"	"Lato Medium Italic"	"Lato Medium"	"Lato-MediumItalic"	FALSE	TRUE	FALSE	NA
"153"	NA	"Lato-Regular.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-Regular.ttf"	"Lato Regular"	"Lato"	"Lato-Regular"	FALSE	FALSE	FALSE	NA
"154"	NA	"Lato-Semibold.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-Semibold.ttf"	"Lato Semibold"	"Lato Semibold"	"Lato-Semibold"	FALSE	FALSE	FALSE	NA
"155"	NA	"Lato-SemiboldItalic.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-SemiboldItalic.ttf"	"Lato Semibold Italic"	"Lato Semibold"	"Lato-SemiboldItalic"	FALSE	TRUE	FALSE	NA
"156"	NA	"Lato-Thin.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-Thin.ttf"	"Lato Thin"	"Lato Thin"	"Lato-Thin"	FALSE	FALSE	FALSE	NA
"157"	NA	"Lato-ThinItalic.afm.gz"	"/usr/share/fonts/truetype/lato/Lato-ThinItalic.ttf"	"Lato Thin Italic"	"Lato Thin"	"Lato-ThinItalic"	FALSE	TRUE	FALSE	NA
"158"	NA	"LiberationMono-Regular.afm.gz"	"/usr/share/fonts/truetype/liberation2/LiberationMono-Regular.ttf"	"Liberation Mono"	"Liberation Mono"	"LiberationMono"	FALSE	FALSE	FALSE	NA
"159"	NA	"LiberationMono-Regular.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationMono-Regular.ttf"	"Liberation Mono"	"Liberation Mono"	"LiberationMono"	FALSE	FALSE	FALSE	NA
"160"	NA	"LiberationMono-Bold.afm.gz"	"/usr/share/fonts/truetype/liberation2/LiberationMono-Bold.ttf"	"Liberation Mono Bold"	"Liberation Mono"	"LiberationMono-Bold"	TRUE	FALSE	FALSE	NA
"161"	NA	"LiberationMono-Bold.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationMono-Bold.ttf"	"Liberation Mono Bold"	"Liberation Mono"	"LiberationMono-Bold"	TRUE	FALSE	FALSE	NA
"162"	NA	"LiberationMono-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/liberation2/LiberationMono-BoldItalic.ttf"	"Liberation Mono Bold Italic"	"Liberation Mono"	"LiberationMono-BoldItalic"	TRUE	TRUE	FALSE	NA
"163"	NA	"LiberationMono-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationMono-BoldItalic.ttf"	"Liberation Mono Bold Italic"	"Liberation Mono"	"LiberationMono-BoldItalic"	TRUE	TRUE	FALSE	NA
"164"	NA	"LiberationMono-Italic.afm.gz"	"/usr/share/fonts/truetype/liberation2/LiberationMono-Italic.ttf"	"Liberation Mono Italic"	"Liberation Mono"	"LiberationMono-Italic"	FALSE	TRUE	FALSE	NA
"165"	NA	"LiberationMono-Italic.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationMono-Italic.ttf"	"Liberation Mono Italic"	"Liberation Mono"	"LiberationMono-Italic"	FALSE	TRUE	FALSE	NA
"166"	NA	"LiberationSans-Regular.afm.gz"	"/usr/share/fonts/truetype/liberation2/LiberationSans-Regular.ttf"	"Liberation Sans"	"Liberation Sans"	"LiberationSans"	FALSE	FALSE	FALSE	NA
"167"	NA	"LiberationSans-Regular.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationSans-Regular.ttf"	"Liberation Sans"	"Liberation Sans"	"LiberationSans"	FALSE	FALSE	FALSE	NA
"168"	NA	"LiberationSans-Bold.afm.gz"	"/usr/share/fonts/truetype/liberation2/LiberationSans-Bold.ttf"	"Liberation Sans Bold"	"Liberation Sans"	"LiberationSans-Bold"	TRUE	FALSE	FALSE	NA
"169"	NA	"LiberationSans-Bold.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationSans-Bold.ttf"	"Liberation Sans Bold"	"Liberation Sans"	"LiberationSans-Bold"	TRUE	FALSE	FALSE	NA
"170"	NA	"LiberationSans-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/liberation2/LiberationSans-BoldItalic.ttf"	"Liberation Sans Bold Italic"	"Liberation Sans"	"LiberationSans-BoldItalic"	TRUE	TRUE	FALSE	NA
"171"	NA	"LiberationSans-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationSans-BoldItalic.ttf"	"Liberation Sans Bold Italic"	"Liberation Sans"	"LiberationSans-BoldItalic"	TRUE	TRUE	FALSE	NA
"172"	NA	"LiberationSans-Italic.afm.gz"	"/usr/share/fonts/truetype/liberation2/LiberationSans-Italic.ttf"	"Liberation Sans Italic"	"Liberation Sans"	"LiberationSans-Italic"	FALSE	TRUE	FALSE	NA
"173"	NA	"LiberationSans-Italic.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationSans-Italic.ttf"	"Liberation Sans Italic"	"Liberation Sans"	"LiberationSans-Italic"	FALSE	TRUE	FALSE	NA
"174"	NA	"LiberationSansNarrow-Regular.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationSansNarrow-Regular.ttf"	"Liberation Sans Narrow"	"Liberation Sans Narrow"	"LiberationSansNarrow"	FALSE	FALSE	FALSE	NA
"175"	NA	"LiberationSansNarrow-Bold.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationSansNarrow-Bold.ttf"	"Liberation Sans Narrow Bold"	"Liberation Sans Narrow"	"LiberationSansNarrow-Bold"	TRUE	FALSE	FALSE	NA
"176"	NA	"LiberationSansNarrow-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationSansNarrow-BoldItalic.ttf"	"Liberation Sans Narrow Bold Italic"	"Liberation Sans Narrow"	"LiberationSansNarrow-BoldItalic"	TRUE	TRUE	FALSE	NA
"177"	NA	"LiberationSansNarrow-Italic.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationSansNarrow-Italic.ttf"	"Liberation Sans Narrow Italic"	"Liberation Sans Narrow"	"LiberationSansNarrow-Italic"	FALSE	TRUE	FALSE	NA
"178"	NA	"LiberationSerif-Regular.afm.gz"	"/usr/share/fonts/truetype/liberation2/LiberationSerif-Regular.ttf"	"Liberation Serif"	"Liberation Serif"	"LiberationSerif"	FALSE	FALSE	FALSE	NA
"179"	NA	"LiberationSerif-Regular.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationSerif-Regular.ttf"	"Liberation Serif"	"Liberation Serif"	"LiberationSerif"	FALSE	FALSE	FALSE	NA
"180"	NA	"LiberationSerif-Bold.afm.gz"	"/usr/share/fonts/truetype/liberation2/LiberationSerif-Bold.ttf"	"Liberation Serif Bold"	"Liberation Serif"	"LiberationSerif-Bold"	TRUE	FALSE	FALSE	NA
"181"	NA	"LiberationSerif-Bold.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationSerif-Bold.ttf"	"Liberation Serif Bold"	"Liberation Serif"	"LiberationSerif-Bold"	TRUE	FALSE	FALSE	NA
"182"	NA	"LiberationSerif-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationSerif-BoldItalic.ttf"	"Liberation Serif Bold Italic"	"Liberation Serif"	"LiberationSerif-BoldItalic"	TRUE	TRUE	FALSE	NA
"183"	NA	"LiberationSerif-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/liberation2/LiberationSerif-BoldItalic.ttf"	"Liberation Serif Bold Italic"	"Liberation Serif"	"LiberationSerif-BoldItalic"	TRUE	TRUE	FALSE	NA
"184"	NA	"LiberationSerif-Italic.afm.gz"	"/usr/share/fonts/truetype/liberation2/LiberationSerif-Italic.ttf"	"Liberation Serif Italic"	"Liberation Serif"	"LiberationSerif-Italic"	FALSE	TRUE	FALSE	NA
"185"	NA	"LiberationSerif-Italic.afm.gz"	"/usr/share/fonts/truetype/liberation/LiberationSerif-Italic.ttf"	"Liberation Serif Italic"	"Liberation Serif"	"LiberationSerif-Italic"	FALSE	TRUE	FALSE	NA
"186"	NA	"LikhanNormal.afm.gz"	"/usr/share/fonts/truetype/fonts-beng-extra/LikhanNormal.ttf"	"Likhan"	"Likhan"	"LikhanNormal"	FALSE	FALSE	FALSE	NA
"187"	NA	"lklug.afm.gz"	"/usr/share/fonts/truetype/sinhala/lklug.ttf"	"LKLUG"	"LKLUG"	"LKLUG"	FALSE	FALSE	FALSE	NA
"188"	NA	"Lohit-Assamese.afm.gz"	"/usr/share/fonts/truetype/lohit-assamese/Lohit-Assamese.ttf"	"Lohit Assamese"	"Lohit Assamese"	"Lohit-Assamese"	FALSE	FALSE	FALSE	NA
"189"	NA	"Lohit-Bengali.afm.gz"	"/usr/share/fonts/truetype/lohit-bengali/Lohit-Bengali.ttf"	"Lohit Bengali"	"Lohit Bengali"	"Lohit-Bengali"	FALSE	FALSE	FALSE	NA
"190"	NA	"Lohit-Devanagari.afm.gz"	"/usr/share/fonts/truetype/lohit-devanagari/Lohit-Devanagari.ttf"	"Lohit Devanagari"	"Lohit Devanagari"	"Lohit-Devanagari"	FALSE	FALSE	FALSE	NA
"191"	NA	"Lohit-Gujarati.afm.gz"	"/usr/share/fonts/truetype/lohit-gujarati/Lohit-Gujarati.ttf"	"Lohit Gujarati"	"Lohit Gujarati"	"Lohit-Gujarati"	FALSE	FALSE	FALSE	NA
"192"	NA	"Lohit-Gurmukhi.afm.gz"	"/usr/share/fonts/truetype/lohit-punjabi/Lohit-Gurmukhi.ttf"	"Lohit Gurmukhi"	"Lohit Gurmukhi"	"Lohit-Gurmukhi"	FALSE	FALSE	FALSE	NA
"193"	NA	"Lohit-Kannada.afm.gz"	"/usr/share/fonts/truetype/lohit-kannada/Lohit-Kannada.ttf"	"Lohit Kannada"	"Lohit Kannada"	"Lohit-Kannada"	FALSE	FALSE	FALSE	NA
"194"	NA	"Lohit-Malayalam.afm.gz"	"/usr/share/fonts/truetype/lohit-malayalam/Lohit-Malayalam.ttf"	"Lohit Malayalam"	"Lohit Malayalam"	"Lohit-Malayalam"	FALSE	FALSE	FALSE	NA
"195"	NA	"Lohit-Odia.afm.gz"	"/usr/share/fonts/truetype/lohit-oriya/Lohit-Odia.ttf"	"Lohit Odia"	"Lohit Odia"	"Lohit-Odia"	FALSE	FALSE	FALSE	NA
"196"	NA	"Lohit-Tamil.afm.gz"	"/usr/share/fonts/truetype/lohit-tamil/Lohit-Tamil.ttf"	"Lohit Tamil"	"Lohit Tamil"	"Lohit-Tamil"	FALSE	FALSE	FALSE	NA
"197"	NA	"Lohit-Tamil-Classical.afm.gz"	"/usr/share/fonts/truetype/lohit-tamil-classical/Lohit-Tamil-Classical.ttf"	"Lohit Tamil Classical"	"Lohit Tamil Classical"	"Lohit-Tamil-Classical"	FALSE	FALSE	FALSE	NA
"198"	NA	"Lohit-Telugu.afm.gz"	"/usr/share/fonts/truetype/lohit-telugu/Lohit-Telugu.ttf"	"Lohit Telugu"	"Lohit Telugu"	"Lohit-Telugu"	FALSE	FALSE	FALSE	NA
"199"	NA	"Loma.afm.gz"	"/usr/share/fonts/truetype/tlwg/Loma.ttf"	"Loma"	"Loma"	"Loma"	FALSE	FALSE	FALSE	NA
"200"	NA	"Loma-Bold.afm.gz"	"/usr/share/fonts/truetype/tlwg/Loma-Bold.ttf"	"Loma Bold"	"Loma"	"Loma-Bold"	TRUE	FALSE	FALSE	NA
"201"	NA	"Loma-BoldOblique.afm.gz"	"/usr/share/fonts/truetype/tlwg/Loma-BoldOblique.ttf"	"Loma Bold Oblique"	"Loma"	"Loma-BoldOblique"	TRUE	TRUE	FALSE	NA
"202"	NA	"Loma-Oblique.afm.gz"	"/usr/share/fonts/truetype/tlwg/Loma-Oblique.ttf"	"Loma Oblique"	"Loma"	"Loma-Oblique"	FALSE	TRUE	FALSE	NA
"203"	NA	"luximr.afm.gz"	"/usr/share/fonts/truetype/ttf-xfree86-nonfree/luximr.ttf"	"Luxi Mono Regular"	"Luxi Mono"	"LuxiMono"	FALSE	FALSE	FALSE	NA
"204"	NA	"luximb.afm.gz"	"/usr/share/fonts/truetype/ttf-xfree86-nonfree/luximb.ttf"	"Luxi Mono Bold"	"Luxi Mono"	"LuxiMono-Bold"	TRUE	FALSE	FALSE	NA
"205"	NA	"luximbi.afm.gz"	"/usr/share/fonts/truetype/ttf-xfree86-nonfree/luximbi.ttf"	"Luxi Mono Bold Oblique"	"Luxi Mono"	"LuxiMono-BoldOblique"	TRUE	TRUE	FALSE	NA
"206"	NA	"luximri.afm.gz"	"/usr/share/fonts/truetype/ttf-xfree86-nonfree/luximri.ttf"	"Luxi Mono Oblique"	"Luxi Mono"	"LuxiMono-Oblique"	FALSE	TRUE	FALSE	NA
"207"	NA	"luxisr.afm.gz"	"/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxisr.ttf"	"Luxi Sans Regular"	"Luxi Sans"	"LuxiSans"	FALSE	FALSE	FALSE	NA
"208"	NA	"luxisb.afm.gz"	"/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxisb.ttf"	"Luxi Sans Bold"	"Luxi Sans"	"LuxiSans-Bold"	TRUE	FALSE	FALSE	NA
"209"	NA	"luxisbi.afm.gz"	"/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxisbi.ttf"	"Luxi Sans Bold Oblique"	"Luxi Sans"	"LuxiSans-BoldOblique"	TRUE	TRUE	FALSE	NA
"210"	NA	"luxisri.afm.gz"	"/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxisri.ttf"	"Luxi Sans Oblique"	"Luxi Sans"	"LuxiSans-Oblique"	FALSE	TRUE	FALSE	NA
"211"	NA	"luxirr.afm.gz"	"/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxirr.ttf"	"Luxi Serif Regular"	"Luxi Serif"	"LuxiSerif"	FALSE	FALSE	FALSE	NA
"212"	NA	"luxirb.afm.gz"	"/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxirb.ttf"	"Luxi Serif Bold"	"Luxi Serif"	"LuxiSerif-Bold"	TRUE	FALSE	FALSE	NA
"213"	NA	"luxirbi.afm.gz"	"/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxirbi.ttf"	"Luxi Serif Bold Oblique"	"Luxi Serif"	"LuxiSerif-BoldOblique"	TRUE	TRUE	FALSE	NA
"214"	NA	"luxirri.afm.gz"	"/usr/share/fonts/truetype/ttf-xfree86-nonfree/luxirri.ttf"	"Luxi Serif Oblique"	"Luxi Serif"	"LuxiSerif-Oblique"	FALSE	TRUE	FALSE	NA
"215"	NA	"Meera.afm.gz"	"/usr/share/fonts/truetype/malayalam/Meera.ttf"	"Meera"	"Meera"	"Meera"	FALSE	FALSE	FALSE	NA
"216"	NA	"mitra.afm.gz"	"/usr/share/fonts/truetype/fonts-beng-extra/mitra.ttf"	"Mitra Mono"	"Mitra Mono"	"Mitra"	FALSE	FALSE	FALSE	NA
"217"	NA	"mry_KacstQurn.afm.gz"	"/usr/share/fonts/truetype/kacst/mry_KacstQurn.ttf"	"mry_KacstQurn"	"mry_KacstQurn"	"mry-KacstQurn"	FALSE	FALSE	FALSE	NA
"218"	NA	"MuktiNarrow.afm.gz"	"/usr/share/fonts/truetype/fonts-beng-extra/MuktiNarrow.ttf"	"Mukti Narrow"	"Mukti Narrow"	"muktinarrow"	FALSE	FALSE	FALSE	NA
"219"	NA	"MuktiNarrowBold.afm.gz"	"/usr/share/fonts/truetype/fonts-beng-extra/MuktiNarrowBold.ttf"	"Mukti Narrow Bold"	"Mukti Narrow"	"muktinarrowbold"	TRUE	FALSE	FALSE	NA
"220"	NA	"nakula.afm.gz"	"/usr/share/fonts/truetype/Nakula/nakula.ttf"	"Nakula"	"Nakula"	"Nakula"	FALSE	FALSE	FALSE	NA
"221"	NA	"Navilu.afm.gz"	"/usr/share/fonts/truetype/Navilu/Navilu.ttf"	"Navilu"	"Navilu"	"Navilu"	FALSE	FALSE	FALSE	NA
"222"	NA	"Norasi.afm.gz"	"/usr/share/fonts/truetype/tlwg/Norasi.ttf"	"Norasi"	"Norasi"	"Norasi"	FALSE	FALSE	FALSE	NA
"223"	NA	"Norasi-Bold.afm.gz"	"/usr/share/fonts/truetype/tlwg/Norasi-Bold.ttf"	"Norasi Bold"	"Norasi"	"Norasi-Bold"	TRUE	FALSE	FALSE	NA
"224"	NA	"Norasi-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/tlwg/Norasi-BoldItalic.ttf"	"Norasi Bold Italic"	"Norasi"	"Norasi-BoldItalic"	TRUE	TRUE	FALSE	NA
"225"	NA	"Norasi-BoldOblique.afm.gz"	"/usr/share/fonts/truetype/tlwg/Norasi-BoldOblique.ttf"	"Norasi Bold Oblique"	"Norasi"	"Norasi-BoldOblique"	TRUE	TRUE	FALSE	NA
"226"	NA	"Norasi-Italic.afm.gz"	"/usr/share/fonts/truetype/tlwg/Norasi-Italic.ttf"	"Norasi Italic"	"Norasi"	"Norasi-Italic"	FALSE	TRUE	FALSE	NA
"227"	NA	"Norasi-Oblique.afm.gz"	"/usr/share/fonts/truetype/tlwg/Norasi-Oblique.ttf"	"Norasi Oblique"	"Norasi"	"Norasi-Oblique"	FALSE	TRUE	FALSE	NA
"228"	NA	"NotoKufiArabic-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoKufiArabic-Regular.ttf"	"Noto Kufi Arabic"	"Noto Kufi Arabic"	"NotoKufiArabic"	FALSE	FALSE	FALSE	NA
"229"	NA	"NotoKufiArabic-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoKufiArabic-Bold.ttf"	"Noto Kufi Arabic Bold"	"Noto Kufi Arabic"	"NotoKufiArabic-Bold"	TRUE	FALSE	FALSE	NA
"230"	NA	"NotoMono-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoMono-Regular.ttf"	"Noto Mono"	"Noto Mono"	"NotoMono"	FALSE	FALSE	FALSE	NA
"231"	NA	"NotoNaskhArabic-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoNaskhArabic-Regular.ttf"	"Noto Naskh Arabic"	"Noto Naskh Arabic"	"NotoNaskhArabic"	FALSE	FALSE	FALSE	NA
"232"	NA	"NotoNaskhArabic-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoNaskhArabic-Bold.ttf"	"Noto Naskh Arabic Bold"	"Noto Naskh Arabic"	"NotoNaskhArabic-Bold"	TRUE	FALSE	FALSE	NA
"233"	NA	"NotoNaskhArabicUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoNaskhArabicUI-Regular.ttf"	"Noto Naskh Arabic UI"	"Noto Naskh Arabic UI"	"NotoNaskhArabicUI"	FALSE	FALSE	FALSE	NA
"234"	NA	"NotoNaskhArabicUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoNaskhArabicUI-Bold.ttf"	"Noto Naskh Arabic UI Bold"	"Noto Naskh Arabic UI"	"NotoNaskhArabicUI-Bold"	TRUE	FALSE	FALSE	NA
"235"	NA	"NotoSansAdlam-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansAdlam-Regular.ttf"	"Noto Sans Adlam Regular"	"Noto Sans Adlam"	"NotoSansAdlam-Regular"	FALSE	FALSE	FALSE	NA
"236"	NA	"NotoSansAdlamUnjoined-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansAdlamUnjoined-Regular.ttf"	"Noto Sans Adlam Unjoined Regular"	"Noto Sans Adlam Unjoined"	"NotoSansAdlamUnjoined-Regular"	FALSE	FALSE	FALSE	NA
"237"	NA	"NotoSansArabic-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansArabic-Bold.ttf"	"Noto Sans Arabic Bold"	"Noto Sans Arabic"	"NotoSansArabic-Bold"	TRUE	FALSE	FALSE	NA
"238"	NA	"NotoSansArabic-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansArabic-Regular.ttf"	"Noto Sans Arabic Regular"	"Noto Sans Arabic"	"NotoSansArabic-Regular"	FALSE	FALSE	FALSE	NA
"239"	NA	"NotoSansArabicUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansArabicUI-Bold.ttf"	"Noto Sans Arabic UI Bold"	"Noto Sans Arabic UI"	"NotoSansArabicUI-Bold"	TRUE	FALSE	FALSE	NA
"240"	NA	"NotoSansArabicUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansArabicUI-Regular.ttf"	"Noto Sans Arabic UI Regular"	"Noto Sans Arabic UI"	"NotoSansArabicUI-Regular"	FALSE	FALSE	FALSE	NA
"241"	NA	"NotoSansArmenian-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansArmenian-Bold.ttf"	"Noto Sans Armenian Bold"	"Noto Sans Armenian"	"NotoSansArmenian-Bold"	TRUE	FALSE	FALSE	NA
"242"	NA	"NotoSansArmenian-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansArmenian-Regular.ttf"	"Noto Sans Armenian Regular"	"Noto Sans Armenian"	"NotoSansArmenian-Regular"	FALSE	FALSE	FALSE	NA
"243"	NA	"NotoSansAvestan-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansAvestan-Regular.ttf"	"Noto Sans Avestan Regular"	"Noto Sans Avestan"	"NotoSansAvestan-Regular"	FALSE	FALSE	FALSE	NA
"244"	NA	"NotoSansBamum-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansBamum-Regular.ttf"	"Noto Sans Bamum Regular"	"Noto Sans Bamum"	"NotoSansBamum-Regular"	FALSE	FALSE	FALSE	NA
