"package"	"afmfile"	"fontfile"	"FullName"	"FamilyName"	"FontName"	"Bold"	"Italic"	"Symbol"	"afmsymfile"
"29"	NA	"DejaVuSans-BoldOblique.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSans-BoldOblique.ttf"	"DejaVu Sans Bold Oblique"	"DejaVu Sans"	"DejaVuSans-BoldOblique"	TRUE	TRUE	FALSE	NA
"30"	NA	"DejaVuSansCondensed.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansCondensed.ttf"	"DejaVu Sans Condensed"	"DejaVu Sans Condensed"	"DejaVuSansCondensed"	FALSE	FALSE	FALSE	NA
"31"	NA	"DejaVuSansCondensed-Bold.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansCondensed-Bold.ttf"	"DejaVu Sans Condensed Bold"	"DejaVu Sans Condensed"	"DejaVuSansCondensed-Bold"	TRUE	FALSE	FALSE	NA
"32"	NA	"DejaVuSansCondensed-BoldOblique.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansCondensed-BoldOblique.ttf"	"DejaVu Sans Condensed Bold Oblique"	"DejaVu Sans Condensed"	"DejaVuSansCondensed-BoldOblique"	TRUE	TRUE	FALSE	NA
"33"	NA	"DejaVuSansCondensed-Oblique.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansCondensed-Oblique.ttf"	"DejaVu Sans Condensed Oblique"	"DejaVu Sans Condensed"	"DejaVuSansCondensed-Oblique"	FALSE	TRUE	FALSE	NA
"34"	NA	"DejaVuSans-ExtraLight.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSans-ExtraLight.ttf"	"DejaVu Sans ExtraLight"	"DejaVu Sans Light"	"DejaVuSans-ExtraLight"	FALSE	FALSE	FALSE	NA
"35"	NA	"DejaVuSansMono.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansMono.ttf"	"DejaVu Sans Mono"	"DejaVu Sans Mono"	"DejaVuSansMono"	FALSE	FALSE	FALSE	NA
"36"	NA	"DejaVuSansMono-Bold.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansMono-Bold.ttf"	"DejaVu Sans Mono Bold"	"DejaVu Sans Mono"	"DejaVuSansMono-Bold"	TRUE	FALSE	FALSE	NA
"37"	NA	"DejaVuSansMono-BoldOblique.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansMono-BoldOblique.ttf"	"DejaVu Sans Mono Bold Oblique"	"DejaVu Sans Mono"	"DejaVuSansMono-BoldOblique"	TRUE	TRUE	FALSE	NA
"38"	NA	"DejaVuSansMono-Oblique.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSansMono-Oblique.ttf"	"DejaVu Sans Mono Oblique"	"DejaVu Sans Mono"	"DejaVuSansMono-Oblique"	FALSE	TRUE	FALSE	NA
"39"	NA	"DejaVuSans-Oblique.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSans-Oblique.ttf"	"DejaVu Sans Oblique"	"DejaVu Sans"	"DejaVuSans-Oblique"	FALSE	TRUE	FALSE	NA
"40"	NA	"DejaVuSerif.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSerif.ttf"	"DejaVu Serif"	"DejaVu Serif"	"DejaVuSerif"	FALSE	FALSE	FALSE	NA
"41"	NA	"DejaVuSerif-Bold.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSerif-Bold.ttf"	"DejaVu Serif Bold"	"DejaVu Serif"	"DejaVuSerif-Bold"	TRUE	FALSE	FALSE	NA
"42"	NA	"DejaVuSerif-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSerif-BoldItalic.ttf"	"DejaVu Serif Bold Italic"	"DejaVu Serif"	"DejaVuSerif-BoldItalic"	TRUE	TRUE	FALSE	NA
"43"	NA	"DejaVuSerifCondensed.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSerifCondensed.ttf"	"DejaVu Serif Condensed"	"DejaVu Serif Condensed"	"DejaVuSerifCondensed"	FALSE	FALSE	FALSE	NA
"44"	NA	"DejaVuSerifCondensed-Bold.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSerifCondensed-Bold.ttf"	"DejaVu Serif Condensed Bold"	"DejaVu Serif Condensed"	"DejaVuSerifCondensed-Bold"	TRUE	FALSE	FALSE	NA
"45"	NA	"DejaVuSerifCondensed-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSerifCondensed-BoldItalic.ttf"	"DejaVu Serif Condensed Bold Italic"	"DejaVu Serif Condensed"	"DejaVuSerifCondensed-BoldItalic"	TRUE	TRUE	FALSE	NA
"46"	NA	"DejaVuSerifCondensed-Italic.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSerifCondensed-Italic.ttf"	"DejaVu Serif Condensed Italic"	"DejaVu Serif Condensed"	"DejaVuSerifCondensed-Italic"	FALSE	TRUE	FALSE	NA
"47"	NA	"DejaVuSerif-Italic.afm.gz"	"/usr/share/fonts/truetype/dejavu/DejaVuSerif-Italic.ttf"	"DejaVu Serif Italic"	"DejaVu Serif"	"DejaVuSerif-Italic"	FALSE	TRUE	FALSE	NA
"48"	NA	"DroidSansFallbackFull.afm.gz"	"/usr/share/fonts/truetype/droid/DroidSansFallbackFull.ttf"	"Droid Sans Fallback"	"Droid Sans Fallback"	"DroidSansFallback"	FALSE	FALSE	FALSE	NA
"49"	NA	"Dyuthi.afm.gz"	"/usr/share/fonts/truetype/malayalam/Dyuthi.ttf"	"Dyuthi"	"Dyuthi"	"Dyuthi"	FALSE	FALSE	FALSE	NA
"50"	NA	"EBGaramond08-Italic.afm.gz"	"/usr/share/fonts/truetype/ebgaramond/EBGaramond08-Italic.ttf"	"EB Garamond 08 Italic"	"EB Garamond 08"	"EBGaramond08-Italic"	FALSE	TRUE	FALSE	NA
"51"	NA	"EBGaramond08-Regular.afm.gz"	"/usr/share/fonts/truetype/ebgaramond/EBGaramond08-Regular.ttf"	"EB Garamond 08 Regular"	"EB Garamond 08"	"EBGaramond08-Regular"	FALSE	FALSE	FALSE	NA
"52"	NA	"EBGaramond12-AllSC.afm.gz"	"/usr/share/fonts/truetype/ebgaramond/EBGaramond12-AllSC.ttf"	"EB Garamond 12 Regular All SmallCaps"	"EB Garamond 12 All SC"	"EBGaramond12-AllSC"	FALSE	FALSE	FALSE	NA
"53"	NA	"EBGaramond12-Italic.afm.gz"	"/usr/share/fonts/truetype/ebgaramond/EBGaramond12-Italic.ttf"	"EB Garamond 12 Italic"	"EB Garamond 12"	"EBGaramond12-Italic"	FALSE	TRUE	FALSE	NA
"54"	NA	"EBGaramond-InitialsF1.afm.gz"	"/usr/share/fonts/truetype/ebgaramond/EBGaramond-InitialsF1.ttf"	"EB Garamond Initials Fill1"	"EB Garamond Initials Fill1"	"EBGaramondInitialsF1"	FALSE	FALSE	FALSE	NA
"55"	NA	"EBGaramond-InitialsF2.afm.gz"	"/usr/share/fonts/truetype/ebgaramond/EBGaramond-InitialsF2.ttf"	"EB Garamond Initials Fill2"	"EB Garamond Initials Fill2"	"EBGaramondInitialsF2"	FALSE	FALSE	FALSE	NA
"56"	NA	"EBGaramondSC08-Regular.afm.gz"	"/usr/share/fonts/truetype/ebgaramond/EBGaramondSC08-Regular.ttf"	"EB Garamond SmallCaps 08 Regular"	"EB Garamond SC 08"	"EBGaramondSC08-Regular"	FALSE	FALSE	FALSE	NA
"57"	NA	"EBGaramondSC12-Regular.afm.gz"	"/usr/share/fonts/truetype/ebgaramond/EBGaramondSC12-Regular.ttf"	"EB Garamond SmallCaps 12 Regular"	"EB Garamond SC 12"	"EBGaramondSC12-Regular"	FALSE	FALSE	FALSE	NA
"58"	NA	"fontawesome-webfont.afm.gz"	"/usr/share/fonts/truetype/font-awesome/fontawesome-webfont.ttf"	"FontAwesome"	"FontAwesome"	"FontAwesome"	FALSE	FALSE	FALSE	NA
"59"	NA	"FreeMono.afm.gz"	"/usr/share/fonts/truetype/freefont/FreeMono.ttf"	"FreeMono"	"FreeMono"	"FreeMono"	FALSE	FALSE	FALSE	NA
"60"	NA	"FreeMonoBold.afm.gz"	"/usr/share/fonts/truetype/freefont/FreeMonoBold.ttf"	"FreeMono Bold"	"FreeMono"	"FreeMonoBold"	TRUE	FALSE	FALSE	NA
"61"	NA	"FreeMonoBoldOblique.afm.gz"	"/usr/share/fonts/truetype/freefont/FreeMonoBoldOblique.ttf"	"FreeMono Bold Oblique"	"FreeMono"	"FreeMonoBoldOblique"	TRUE	TRUE	FALSE	NA
"62"	NA	"FreeMonoOblique.afm.gz"	"/usr/share/fonts/truetype/freefont/FreeMonoOblique.ttf"	"FreeMono Oblique"	"FreeMono"	"FreeMonoOblique"	FALSE	TRUE	FALSE	NA
"63"	NA	"FreeSans.afm.gz"	"/usr/share/fonts/truetype/freefont/FreeSans.ttf"	"FreeSans"	"FreeSans"	"FreeSans"	FALSE	FALSE	FALSE	NA
"64"	NA	"FreeSansBold.afm.gz"	"/usr/share/fonts/truetype/freefont/FreeSansBold.ttf"	"FreeSans Bold"	"FreeSans"	"FreeSansBold"	TRUE	FALSE	FALSE	NA
"65"	NA	"FreeSansBoldOblique.afm.gz"	"/usr/share/fonts/truetype/freefont/FreeSansBoldOblique.ttf"	"FreeSans Bold Oblique"	"FreeSans"	"FreeSansBoldOblique"	TRUE	TRUE	FALSE	NA
